LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Ext.Price,Product Link
C1953185,293D105X9035A2TE3,Vishay Intertech,1206,,1uF 35V 7.5Ω ±10% 1206  Tantalum Capacitors ROHS,yes,15,5,0.1028,1.54,https://assets.lcsc.com/images/lcsc/96x96/20230130_Vishay-Intertech-293D105X9035A2TE3_C1953185_front.jpg
C110774,RT0805BRD071KL,YAGEO,0805,,125mW Thin Film Resistor ±25ppm/℃ ±0.1% 1kΩ 0805  Chip Resistor - Surface Mount ROHS,yes,20,20,0.0328,0.66,https://assets.lcsc.com/images/lcsc/96x96/20230102_YAGEO-RT0805BRD071KL_C110774_front.jpg
C322799,RS-05L825JT,FH (Guangdong Fenghua Advanced Tech),0805,,125mW ±5% ±250ppm/℃ 8.2MΩ 0805  Chip Resistor - Surface Mount ROHS,yes,100,100,0.0016,0.16,https://assets.lcsc.com/images/lcsc/96x96/20181130_FH--Guangdong-Fenghua-Advanced-Tech-RS-05L825JT_C322799_front.jpg
C107700,RC0805FR-071ML,YAGEO,0805,,125mW Thick Film Resistors ±100ppm/℃ ±1% 1MΩ 0805  Chip Resistor - Surface Mount ROHS,yes,100,100,0.0022,0.22,https://assets.lcsc.com/images/lcsc/96x96/20230102_YAGEO-RC0805FR-071ML_C107700_front.jpg
C382139,TP4056,TPOWER,ESOP-8,," ESOP-8  Battery Management ICs ROHS",yes,5,5,0.1018,0.51,https://assets.lcsc.com/images/lcsc/96x96/20190401_TPOWER-TP4056_C382139_front.jpg
C18164398,DW01A,HL,SOT23-6,," SOT23-6  Battery Management ICs ROHS",yes,20,20,0.0206,0.41,https://assets.lcsc.com/images/lcsc/96x96/20231104_HL-DW01A_C18164398_front.jpg
C82942,ME6211C33M5G-N,MICRONE(Nanjing Micro One Elec),SOT-23-5,,"500mA 70dB@(1kHz),62dB@(10kHz) Fixed 3.3V Positive 6V SOT-23-5  Linear Voltage Regulators (LDO) ROHS",yes,10,10,0.0457,0.46,https://assets.lcsc.com/images/lcsc/96x96/20221231_MICRONE-Nanjing-Micro-One-Elec-ME6211C33M5G-N_C82942_front.jpg
C16052,FS8205A,Fortune Semicon,TSSOP-8,,"20V 6A 25mΩ@4.5V,4A 1W 1V@250uA 2 N-Channel TSSOP-8  MOSFETs ROHS",yes,5,5,0.1845,0.92,https://assets.lcsc.com/images/lcsc/96x96/20180914_Fortune-Semicon-FS8205A_C16052_front.jpg
C2913199,ESP32-S3-WROOM-1-N16,Espressif Systems,"SMD,18x25.5mm",," SMD,18x25.5mm  WiFi Modules ROHS",yes,1,1,4.4562,4.46,https://assets.lcsc.com/images/lcsc/96x96/20230123_Espressif-Systems-ESP32-S3-WROOM-1-N16_C2913199_front.jpg
C2761795,WS2812B-B/T,Worldsemi,SMD5050,,RGB SMD5050  Light Emitting Diodes (LED) ROHS,yes,30,5,0.0845,2.54,https://assets.lcsc.com/images/lcsc/96x96/20230129_Worldsemi-WS2812B-B-T_C2761795_front.jpg
C2939006,1N5819W S4,KUU,SOD-123,,40V 350mA 600mV@200mA SOD-123  Schottky Barrier Diodes (SBD) ROHS,yes,250,50,0.0081,2.03,https://assets.lcsc.com/images/lcsc/96x96/20230128_KUU-1N5819W-S4_C2939006_front.jpg
C13758,"74HC154D,653",Nexperia,SOIC-24-300mil,,5.2mA 2V~6V 5.2mA SOIC-24-300mil  Signal Switches / Encoders & Decoders / Multiplexers ROHS,yes,3,1,0.8369,2.51,https://assets.lcsc.com/images/lcsc/96x96/20221228_Nexperia-74HC154D-653_C13758_front.jpg
